# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue May 25 08:10:37 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.009 -0.22295 10.00000 0.0900000036 1.0816895962    0.090 -3.378  3.3826  5.253    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.15e-17      0.00 7.245e-01 2.664e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 13.216 22.543 19.836 17.943 15.724 13.457 11.119 10.563 10.302
0.009 -0.22295 10.00000 0.1000000015 1.1711064577    0.100 -3.181  3.4113  5.216    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.47e-17      0.00 7.240e-01 2.670e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 12.722 21.982 19.313 17.430 15.225 12.965 10.628 10.071 9.806
0.009 -0.22295 10.00000 0.1200000048 1.3193155527    0.120 -2.915  3.4446  5.163    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-16      0.00 7.230e-01 2.680e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 12.058 19.839 17.630 15.863 14.014 11.996 10.037 9.463 9.184
0.009 -0.22295 10.00000 0.1400000006 1.4384527206    0.140 -2.733  3.4638  5.124    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-16      0.00 7.221e-01 2.688e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 11.602 18.479 16.529 14.828 13.200 11.365 9.631 9.047 8.768
0.009 -0.22295 10.00000 0.1460597366 1.4702475071    0.146 -2.687  3.4682  5.114    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-16      0.00 7.219e-01 2.691e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 11.488 18.179 16.281 14.595 13.012 11.217 9.528 8.943 8.665
0.009 -0.22295 10.00000 0.1599999964 1.5372931957    0.160 -2.590  3.4775  5.093    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-16      0.00 7.213e-01 2.696e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 11.244 17.550 15.757 14.100 12.611 10.905 9.308 8.720 8.444
0.009 -0.22295 10.00000 0.1768723577 1.6089427471    0.177 -2.490  3.4857  5.071    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.82e-16      0.00 7.207e-01 2.702e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 10.996 16.972 15.268 13.632 12.221 10.601 9.083 8.492 8.220
0.009 -0.22295 10.00000 0.2000000030 1.6938791275    0.200 -2.369  3.4959  5.043    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.62e-16      0.00 7.200e-01 2.709e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 10.691 16.305 14.697 13.089 11.760 10.240 8.806 8.213 7.945
0.009 -0.22295 10.00000 0.2212826461 1.7614612579    0.221 -2.274  3.5025  5.018    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.4e-16      0.00 7.197e-01 2.713e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 10.454 15.851 14.299 12.712 11.432 9.970 8.585 7.990 7.726
0.009 -0.22295 10.00000 0.2500000000 1.8403258324    0.250 -2.159  3.5105  4.989    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.58e-16      0.00 7.192e-01 2.717e-01 1.628e-03 4.393e-04 3.984e-03 -1.000 9.056e-03 10.167 15.325 13.832 12.270 11.042 9.649 8.318 7.721 7.462
