# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue May 25 08:11:42 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0007 -1.34568 10.00000 0.0900000036 1.0816895962    0.090 -3.198  3.4658  5.406    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.27e-17      0.00 7.478e-01 2.515e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 12.765 20.490 17.713 15.710 13.906 12.153 10.757 10.420 10.303
0.0007 -1.34568 10.00000 0.0983764902 1.1573997736    0.098 -2.968  3.4986  5.345    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.16e-17      0.00 7.466e-01 2.526e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 12.191 18.439 16.261 14.345 12.929 11.535 10.293 9.840 9.694
0.0007 -1.34568 10.00000 0.1000000089 1.1711064577    0.100 -2.926  3.5046  5.334    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-16      0.00 7.464e-01 2.529e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 12.085 18.087 16.010 14.121 12.757 11.424 10.207 9.738 9.587
0.0007 -1.34568 10.00000 0.1200000048 1.3193155527    0.120 -2.642  3.5365  5.257    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-16      0.00 7.444e-01 2.549e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 11.374 16.194 14.590 12.894 11.740 10.690 9.599 9.068 8.893
0.0007 -1.34568 10.00000 0.1400000155 1.4384528399    0.140 -2.461  3.5523  5.206    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.9e-16      0.00 7.429e-01 2.564e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 10.921 15.251 13.833 12.248 11.167 10.229 9.196 8.647 8.463
0.0007 -1.34568 10.00000 0.1599999964 1.5372931957    0.160 -2.321  3.5626  5.165    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-16      0.00 7.417e-01 2.576e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.426e-04 10.572 14.606 13.299 11.787 10.749 9.876 8.879 8.321 8.131
0.0007 -1.34568 10.00000 0.2000000179 1.6938792467    0.200 -2.101  3.5764  5.098    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.29e-16      0.00 7.404e-01 2.589e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 10.023 13.694 12.522 11.104 10.123 9.323 8.372 7.805 7.608
0.0007 -1.34568 10.00000 0.2500000298 1.8403259516    0.250 -1.896  3.5876  5.034    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.2e-16      0.00 7.401e-01 2.592e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 9.511 12.906 11.838 10.493 9.560 8.808 7.892 7.319 7.121
0.0007 -1.34568 10.00000 0.3000000715 1.9529141188    0.300 -1.739  3.5960  4.990    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-15      0.00 7.402e-01 2.590e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 9.117 12.321 11.322 10.030 9.133 8.412 7.522 6.947 6.751
0.0007 -1.34568 10.00000 0.3500000238 2.0434176922    0.350 -1.612  3.6032  4.959    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-15      0.00 7.442e-01 2.550e-01 1.335e-04 3.603e-05 3.268e-04 -1.000 7.427e-04 8.799 11.851 10.906 9.657 8.789 8.092 7.224 6.647 6.456
