# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue May 18 05:33:54 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.90309 0.0900000036 1.0816895962    0.090 -3.423  3.3624  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-17      0.00 7.083e-01 2.765e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.328 22.583 19.965 18.135 15.988 13.743 11.251 10.640 10.353
0.0152 0.01508 9.90309 0.1000000015 1.1711064577    0.100 -3.241  3.3883  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.079e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.872 22.064 19.481 17.662 15.527 13.286 10.796 10.186 9.895
0.0152 0.01508 9.90309 0.1114152744 1.2599527836    0.111 -3.084  3.4089  5.156    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.2e-17      0.00 7.075e-01 2.772e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.480 21.620 19.066 17.255 15.130 12.894 10.404 9.796 9.502
0.0152 0.01508 9.90309 0.1200000122 1.3193155527    0.120 -2.976  3.4231  5.137    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.072e-01 2.775e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.210 20.991 18.559 16.773 14.726 12.543 10.149 9.540 9.243
0.0152 0.01508 9.90309 0.1400000006 1.4384527206    0.140 -2.792  3.4434  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.066e-01 2.781e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.751 19.443 17.341 15.643 13.834 11.822 9.737 9.126 8.829
0.0152 0.01508 9.90309 0.1521820575 1.5006750822    0.152 -2.704  3.4519  5.084    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-16      0.00 7.063e-01 2.785e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.530 18.810 16.826 15.161 13.444 11.505 9.537 8.924 8.628
0.0152 0.01508 9.90309 0.1599999964 1.5372931957    0.160 -2.651  3.4569  5.073    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-16      0.00 7.061e-01 2.787e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.398 18.437 16.522 14.871 13.209 11.318 9.417 8.804 8.509
0.0152 0.01508 9.90309 0.2000000030 1.6938791275    0.200 -2.433  3.4757  5.027    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-16      0.00 7.051e-01 2.796e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.852 17.097 15.398 13.807 12.327 10.602 8.917 8.302 8.016
0.0152 0.01508 9.90309 0.2500000000 1.8403258324    0.250 -2.222  3.4920  4.978    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.89e-16      0.00 7.043e-01 2.804e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.325 15.982 14.431 12.874 11.527 9.956 8.430 7.813 7.537
0.0152 0.01508 9.90309 0.3000000119 1.9529139996    0.300 -2.057  3.5027  4.935    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-16      0.00 7.040e-01 2.807e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.913 15.246 13.773 12.250 10.974 9.486 8.043 7.423 7.156
