# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sun May 30 04:54:07 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 10.00000 0.4663934112 2.2012145519    0.466 -1.307  3.6108  4.808    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.58e-15      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 8.038 11.076 10.101 8.874 8.021 7.333 6.475 5.865 5.689
0.002 -0.88764 10.00000 0.5122950673 2.2497797012    0.512 -1.121  3.6357  4.763    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.52e-15      0.00 7.529e-01 2.451e-01 3.504e-04 9.455e-05 8.576e-04 -1.000 1.951e-03 7.574 10.194 9.336 8.240 7.476 6.869 6.074 5.453 5.317
0.002 -0.88764 10.00000 0.5581966639 2.2903301716    0.557 -0.924  3.6659  4.724    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-15      0.00 7.755e-01 2.227e-01 3.208e-04 8.660e-05 7.858e-04 -1.000 1.793e-03 7.080 9.120 8.474 7.541 6.894 6.377 5.667 5.087 4.986
0.002 -0.88764 10.00000 0.6040982604 2.3238773346    0.604 -0.742  3.6937  4.687    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-14      0.00 7.808e-01 2.175e-01 3.142e-04 8.485e-05 7.701e-04 -1.000 1.748e-03 6.624 8.127 7.741 6.926 6.381 5.924 5.306 4.803 4.719
0.002 -0.88764 10.00000 0.6256933212 2.3377165794    0.625 -0.655  3.7076  4.671    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-14      0.00 7.837e-01 2.146e-01 3.107e-04 8.391e-05 7.617e-04 -1.000 1.700e-03 6.407 7.679 7.415 6.649 6.146 5.713 5.141 4.676 4.599
0.002 -0.88764 10.00000 0.6493493319 2.3516681194    0.649 -0.560  3.7225  4.653    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-14      0.00 7.869e-01 2.114e-01 3.067e-04 8.285e-05 7.522e-04 -1.000 1.700e-03 6.171 7.221 7.076 6.362 5.898 5.491 4.964 4.537 4.468
0.002 -0.88764 10.00000 0.6499999762 2.3520355225    0.650 -0.558  3.7229  4.652    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-14      0.00 7.870e-01 2.113e-01 3.066e-04 8.283e-05 7.520e-04 -1.000 1.700e-03 6.164 7.209 7.067 6.354 5.892 5.485 4.959 4.533 4.464
0.002 -0.88764 10.00000 0.6640111804 2.3597438335    0.664 -0.503  3.7308  4.638    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-14      0.00 7.893e-01 2.090e-01 3.037e-04 8.207e-05 7.452e-04 -1.000 1.700e-03 6.026 6.966 6.879 6.195 5.750 5.356 4.853 4.447 4.381
0.002 -0.88764 10.00000 0.6813085079 2.3687589169    0.681 -0.434  3.7403  4.619    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-14      0.00 7.922e-01 2.061e-01 3.001e-04 8.110e-05 7.365e-04 -1.000 1.700e-03 5.856 6.679 6.654 6.002 5.578 5.199 4.722 4.338 4.276
0.002 -0.88764 10.00000 0.6973306537 2.3766520023    0.697 -0.371  3.7488  4.600    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-14      0.00 7.951e-01 2.032e-01 2.965e-04 8.015e-05 7.281e-04 -1.000 1.695e-03 5.698 6.428 6.451 5.827 5.422 5.056 4.601 4.233 4.177
0.002 -0.88764 10.00000 0.6976190209 2.3767902851    0.697 -0.370  3.7490  4.599    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-14      0.00 7.951e-01 2.032e-01 2.965e-04 8.014e-05 7.280e-04 -1.000 1.694e-03 5.695 6.423 6.447 5.824 5.419 5.053 4.599 4.231 4.175
0.002 -0.88764 10.00000 0.7121393681 2.3835854530    0.712 -0.311  3.7565  4.580    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.72e-14      0.00 7.982e-01 2.002e-01 2.916e-04 7.910e-05 7.189e-04 -1.000 1.610e-03 5.548 6.200 6.262 5.665 5.276 4.923 4.487 4.132 4.081
0.002 -0.88764 10.00000 0.7253805399 2.3895101547    0.725 -0.257  3.7630  4.560    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -4.28e-14      0.00 8.011e-01 1.973e-01 2.869e-04 7.810e-05 7.103e-04 -1.000 1.597e-03 5.413 6.002 6.094 5.520 5.145 4.802 4.382 4.039 3.993
